building_name,building_id,category,level,wood,clay,iron,crop,total_resources,build_time,population,culture_points,effect_type,effect_value,effect_unit,effect_description
Bakery,g9,Infrastructure,1,1200,1480,870,1600,5150,3680,4,1,crop_bonus,5,percentage,Crop Bonus
Bakery,g9,Infrastructure,2,2160,2665,1565,2880,9270,6720,6,1,crop_bonus,10,percentage,Crop Bonus
Bakery,g9,Infrastructure,3,3890,4795,2820,5185,16690,11280,8,2,crop_bonus,15,percentage,Crop Bonus
Bakery,g9,Infrastructure,4,7000,8630,5075,9330,30035,18120,10,2,crop_bonus,20,percentage,Crop Bonus
Bakery,g9,Infrastructure,5,12595,15535,9135,16795,54060,28380,12,2,crop_bonus,25,percentage,Crop Bonus
Brickyard,g6,Infrastructure,1,440,480,320,50,1290,2240,3,1,production_bonus,5,percentage,brickyard production bonus
Brickyard,g6,Infrastructure,2,790,865,575,90,2320,4560,5,1,production_bonus,10,percentage,brickyard production bonus
Brickyard,g6,Infrastructure,3,1425,1555,1035,160,4175,8040,7,2,production_bonus,15,percentage,brickyard production bonus
Brickyard,g6,Infrastructure,4,2565,2800,1865,290,7520,13260,9,2,production_bonus,20,percentage,brickyard production bonus
Brickyard,g6,Infrastructure,5,4620,5040,3360,525,13545,21090,11,2,production_bonus,25,percentage,brickyard production bonus
Clay Pit,g2,Infrastructure,1,80,40,80,50,250,220,2,1,resource_production,30,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,2,135,65,135,85,420,550,3,1,resource_production,60,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,3,225,110,225,140,700,1080,4,2,resource_production,90,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,4,375,185,375,235,1170,1930,5,2,resource_production,120,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,5,620,310,620,390,1940,3290,6,2,resource_production,150,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,6,1040,520,1040,650,3250,5470,8,3,resource_production,180,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,7,1735,870,1735,1085,5425,8950,10,4,resource_production,210,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,8,2900,1450,2900,1810,9060,14520,12,4,resource_production,240,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,9,4840,2420,4840,3025,15125,23430,14,5,resource_production,270,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,10,8080,4040,8080,5050,25250,37690,16,6,resource_production,300,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,11,13500,6750,13500,8435,42185,60510,18,7,resource_production,330,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,12,22540,11270,22540,14090,70440,97010,20,9,resource_production,360,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,13,37645,18820,37645,23525,117635,155420,22,11,resource_production,390,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,14,62865,31430,62865,39290,196450,248870,24,13,resource_production,420,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,15,104985,52490,104985,65615,328075,110,26,15,resource_production,450,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,16,175320,87660,175320,109575,547875,177,29,18,resource_production,480,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,17,292790,146395,292790,182995,914970,283,32,22,resource_production,510,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,18,488955,244480,488955,305600,1527990,453,35,27,resource_production,540,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,19,816555,408280,816555,510350,2551740,725,38,32,resource_production,570,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,20,1363650,681825,1363650,852280,4261405,1161,41,38,resource_production,600,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,21,2277295,1138650,2277295,1423310,7116550,1858,44,46,resource_production,630,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,22,3803085,1901540,3803085,2376925,11884635,2972,47,55,resource_production,660,absolute,Clay Pit resource production
Clay Pit,g2,Infrastructure,23,6351150,3175575,6351150,3969470,19847345,4756,50,66,resource_production,690,absolute,Clay Pit resource production
Cropland,g4,Infrastructure,1,70,90,70,20,250,150,0,1,resource_production,30,absolute,Cropland resource production
Cropland,g4,Infrastructure,2,115,150,115,35,415,440,0,1,resource_production,60,absolute,Cropland resource production
Cropland,g4,Infrastructure,3,195,250,195,55,695,900,0,2,resource_production,90,absolute,Cropland resource production
Cropland,g4,Infrastructure,4,325,420,325,95,1165,1650,0,2,resource_production,120,absolute,Cropland resource production
Cropland,g4,Infrastructure,5,545,700,545,155,1945,2830,0,2,resource_production,150,absolute,Cropland resource production
Cropland,g4,Infrastructure,6,910,1170,910,260,3250,4730,1,3,resource_production,180,absolute,Cropland resource production
Cropland,g4,Infrastructure,7,1520,1950,1520,435,5425,7780,2,4,resource_production,210,absolute,Cropland resource production
Cropland,g4,Infrastructure,8,2535,3260,2535,725,9055,12640,3,4,resource_production,240,absolute,Cropland resource production
Cropland,g4,Infrastructure,9,4235,5445,4235,1210,15125,20430,4,5,resource_production,270,absolute,Cropland resource production
Cropland,g4,Infrastructure,10,7070,9095,7070,2020,25255,32880,5,6,resource_production,300,absolute,Cropland resource production
Cropland,g4,Infrastructure,11,11810,15185,11810,3375,42180,52810,6,7,resource_production,330,absolute,Cropland resource production
Cropland,g4,Infrastructure,12,19725,25360,19725,5635,70445,84700,7,9,resource_production,360,absolute,Cropland resource production
Cropland,g4,Infrastructure,13,32940,42350,32940,9410,117640,135710,8,11,resource_production,390,absolute,Cropland resource production
Cropland,g4,Infrastructure,14,55005,70720,55005,15715,196445,217340,9,13,resource_production,420,absolute,Cropland resource production
Cropland,g4,Infrastructure,15,91860,118105,91860,26245,328070,347950,10,15,resource_production,450,absolute,Cropland resource production
Cropland,g4,Infrastructure,16,153405,197240,153405,43830,547880,154,12,18,resource_production,480,absolute,Cropland resource production
Cropland,g4,Infrastructure,17,256190,329385,256190,73195,914960,247,14,22,resource_production,510,absolute,Cropland resource production
Cropland,g4,Infrastructure,18,427835,550075,427835,122240,1527985,396,16,27,resource_production,540,absolute,Cropland resource production
